agency,complaint_type,descriptor,category,subcategory,raw_llm_response,request_count
HPD,SAFETY,FIRE ESCAPE,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",2866
DPR,Maintenance or Facility,Grass/Weeds,Parks & Community,Park Maintenance,"{""category"": ""Parks & Community"", ""subcategory"": ""Park Maintenance""}",2842
DSNY,Street Sweeping Complaint,Street Not Swept,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",2810
DOB,Boilers,Boiler - Defective/Inoperative/No Permit,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",2793
DOHMH,Indoor Air Quality,Chemical Vapors/Gases/Odors,Hazardous Conditions,Hazardous Materials & Safety,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Hazardous Materials & Safety""}",2791
DOT,Traffic Signal Condition,Veh Signal Lamp,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",2780
NYPD,Traffic,Congestion/Gridlock,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",2780
DPR,Overgrown Tree/Branches,Hitting Power Lines,Parks & Community,Tree Complaints,"{""category"": ""Parks & Community"", ""subcategory"": ""Tree Complaints""}",2754
DSNY,Residential Disposal Complaint,Waste Set Out Too Early or Too Late,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",2753
DOHMH,Food Poisoning,1 or 2,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",2662
DOB,General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",2622
DEP,Noise,Noise: Jack Hammering (NC2),Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",2583
DSNY,Dirty Condition,Dog Waste,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",2557
DSNY,Abandoned Bike,Chained to Public Property,Public Safety & Order,Parking,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Parking""}",2500
DOT,Outdoor Dining,Site Setup Condition,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",2489
DCWP,Consumer Complaint,Other Store (Non-Food),Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",2466
DOT,Traffic Signal Condition,LED Lense,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",2429
DSNY,Missed Collection,Recycling - Metal/Glass/Rigid Plastic,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",2371
DOB,Electrical,Electrical Wiring Defective/Exposed,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",2348
DOB,Special Projects Inspection Team (SPIT),Illegal Hotel Rooms In Residential Building,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",2334
DEP,Water System,Hydrant Defective (WC2),Hazardous Conditions,Water Quality & Leaks,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Water Quality & Leaks""}",2246
DEP,Water Conservation,Illegal Use Of A Hydrant (CIN),Hazardous Conditions,Water Quality & Leaks,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Water Quality & Leaks""}",2184
NYPD,Animal-Abuse,Other (complaint details),Public Safety & Order,Non-Emergency Police Matters,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Non-Emergency Police Matters""}",2144
HPD,GENERAL,JANITOR/SUPER,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",2112
DOT,Outdoor Dining,Sidewalk Zone Blocked,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",2108
DSNY,Litter Basket Request,Replacement Basket,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",2074
DSNY,Commercial Disposal Complaint,Waste Disposal,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",2051
DOHMH,Mobile Food Vendor,Food Source/Protection,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",2047
DOHMH,Rodent,Mouse Sighting,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",2045
NYPD,Traffic,Chronic Speeding,Public Safety & Order,Non-Emergency Police Matters,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Non-Emergency Police Matters""}",1992
NYPD,Drug Activity,Use Indoor,Public Safety & Order,Non-Emergency Police Matters,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Non-Emergency Police Matters""}",1968
DOB,General Construction/Plumbing,Working Contrary To Stop Work Order,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",1966
DPR,Maintenance or Facility,Rodent Sighting,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",1959
TLC,Lost Property,Electronics/Phones,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",1954
DSNY,Obstruction,Merchandise,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",1920
TLC,Taxi Complaint,Driver Complaint - Non Passenger,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",1899
DOB,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",1870
DOB,General Construction/Plumbing,Fence - None/Inadequate,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",1827
DPR,Maintenance or Facility,Unsecured Facility,Government & Community Services,Parks & Community,"{""category"": ""Government & Community Services"", ""subcategory"": ""Parks & Community""}",1813
DSNY,Missed Collection,Bulky Recycling,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",1784
DSNY,Residential Disposal Complaint,Waste Left in Front of Other Residence,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",1774
DSNY,Litter Basket Request,New Basket,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",1738
DPR,Illegal Tree Damage,Branches Damaged,Parks & Community,Tree Complaints,"{""category"": ""Parks & Community"", ""subcategory"": ""Tree Complaints""}",1706
NYPD,Illegal Parking,Detached Trailer,Public Safety & Order,Parking,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Parking""}",1701
DEP,Sewer,Catch Basin Search (SC2),Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1693
HPD,ELEVATOR,MAINTENANCE,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",1678
DOT,Highway Condition,Pothole - Highway,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1657
DSNY,Lot Condition,Trash,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",1640
DOHMH,Unleashed Dog,Unleashed Dog in Public,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",1619
DOB,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",1613
HPD,GENERAL,MAILBOX,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",1568
DOT,Curb Condition,Defacement,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1554
DOB,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",1551
HPD,PLUMBING,STEAM PIPE/RISER,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",1551
TLC,For Hire Vehicle Complaint,Driver Complaint - Passenger,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",1543
DEP,Water System,LOW WATER PRESSURE - WLWP,Hazardous Conditions,Water Quality & Leaks,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Water Quality & Leaks""}",1542
DOHMH,Indoor Air Quality,Ventilation,Hazardous Conditions,Hazardous Materials & Safety,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Hazardous Materials & Safety""}",1540
DPR,Violation of Park Rules,Obstructing Public Use,Government & Community Services,Parks & Community,"{""category"": ""Government & Community Services"", ""subcategory"": ""Parks & Community""}",1514
DOHMH,Mobile Food Vendor,Food Worker Activity,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",1510
HPD,GENERAL,SIGNAGE MISSING,Government & Community Services,Government Requests & Inquiries,"{""category"": ""Government & Community Services"", ""subcategory"": ""Government Requests & Inquiries""}",1505
DPR,Maintenance or Facility,Graffiti or Vandalism,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",1503
DPR,Maintenance or Facility,Hours of Operation,Government & Community Services,Parks & Community,"{""category"": ""Government & Community Services"", ""subcategory"": ""Parks & Community""}",1489
DPR,Overgrown Tree/Branches,Hitting Phone/Cable Lines,Government & Community Services,Parks & Community,"{""category"": ""Government & Community Services"", ""subcategory"": ""Parks & Community""}",1484
DOT,Street Sign - Damaged,Other/Unknown,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1478
NYPD,Animal-Abuse,Tortured,Public Safety & Order,Non-Emergency Police Matters,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Non-Emergency Police Matters""}",1472
DPR,Violation of Park Rules,Unlicensed Vendors,Government & Community Services,Parks & Community,"{""category"": ""Government & Community Services"", ""subcategory"": ""Parks & Community""}",1462
DOHMH,Unsanitary Animal Pvt Property,Dog,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",1459
DCWP,Consumer Complaint,"Bodega, Deli, or Convenience Store",Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",1456
DOHMH,Day Care,Day Care Facility,Government & Community Services,Parks & Community,"{""category"": ""Government & Community Services"", ""subcategory"": ""Parks & Community""}",1433
DOHMH,Indoor Air Quality,Sewage Odor,Environmental Health & Sanitation,Hazardous Materials & Safety,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Hazardous Materials & Safety""}",1427
DOT,Traffic Signal Condition,Veh Signal Head,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1414
DEP,Sewer,Sewer Odor (SA2),Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",1413
DCWP,Consumer Complaint,Tobacco Sales,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",1395
DSNY,Dead Animal,Rat or Mouse,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",1343
DEP,Air Quality,"Air: Dust, Construction/Demolition (AE4)",Hazardous Conditions,Hazardous Materials & Safety,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Hazardous Materials & Safety""}",1339
DOHMH,Unsanitary Pigeon Condition,Pigeon Waste,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",1323
DEP,Sewer,Catch Basin Sunken/Damaged/Raised (SC1),Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1322
DOHMH,Smoking,Smoking Violation,Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",1313
DEP,Noise,Noise:  lawn care equipment (NCL),Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",1307
DOT,Traffic Signal Condition,APS,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1306
